Data,Produto,Preco_Unitario,Vendas_Do_Dia,Estoque_Disponivel,Fim_De_Semana
2025-01-01,Teclado Mecânico,250.0,58,85,0
2025-01-02,Teclado Mecânico,250.0,65,84,0
2025-01-03,Teclado Mecânico,250.0,93,230,1
2025-01-04,Teclado Mecânico,250.0,97,119,1
2025-01-05,Teclado Mecânico,250.0,89,136,1
2025-01-06,Teclado Mecânico,250.0,61,106,0
2025-01-07,Teclado Mecânico,250.0,50,86,0
2025-01-08,Teclado Mecânico,250.0,68,156,0
2025-01-09,Teclado Mecânico,250.0,61,113,0
2025-01-10,Teclado Mecânico,250.0,88,177,1
2025-01-11,Teclado Mecânico,250.0,89,189,1
2025-01-12,Teclado Mecânico,250.0,95,215,1
2025-01-13,Teclado Mecânico,250.0,64,96,0
2025-01-14,Teclado Mecânico,250.0,61,80,0
2025-01-15,Teclado Mecânico,250.0,60,82,0
2025-01-16,Teclado Mecânico,250.0,68,165,0
2025-01-17,Teclado Mecânico,250.0,87,181,1
2025-01-18,Teclado Mecânico,250.0,91,114,1
2025-01-19,Teclado Mecânico,250.0,91,217,1
2025-01-20,Teclado Mecânico,250.0,65,114,0
2025-01-21,Teclado Mecânico,250.0,77,118,0
2025-01-22,Teclado Mecânico,250.0,69,203,0
2025-01-23,Teclado Mecânico,250.0,64,182,0
2025-01-24,Teclado Mecânico,250.0,96,130,1
2025-01-25,Teclado Mecânico,250.0,87,146,1
2025-01-26,Teclado Mecânico,250.0,84,226,1
2025-01-27,Teclado Mecânico,250.0,57,124,0
2025-01-28,Teclado Mecânico,250.0,59,85,0
2025-01-29,Teclado Mecânico,250.0,66,165,0
2025-01-30,Teclado Mecânico,250.0,68,176,0
2025-01-31,Teclado Mecânico,250.0,91,128,1
2025-02-01,Teclado Mecânico,250.0,89,245,1
2025-02-02,Teclado Mecânico,250.0,84,110,1
2025-02-03,Teclado Mecânico,250.0,69,121,0
2025-02-04,Teclado Mecânico,250.0,69,161,0
2025-02-05,Teclado Mecânico,250.0,59,165,0
2025-02-06,Teclado Mecânico,250.0,58,144,0
2025-02-07,Teclado Mecânico,250.0,91,233,1
2025-02-08,Teclado Mecânico,250.0,99,206,1
2025-02-09,Teclado Mecânico,250.0,93,199,1
2025-02-10,Teclado Mecânico,250.0,61,85,0
2025-02-11,Teclado Mecânico,250.0,63,79,0
2025-02-12,Teclado Mecânico,250.0,56,118,0
2025-02-13,Teclado Mecânico,250.0,69,195,0
2025-02-14,Teclado Mecânico,250.0,89,227,1
2025-02-15,Teclado Mecânico,250.0,84,135,1
2025-02-16,Teclado Mecânico,250.0,91,135,1
2025-02-17,Teclado Mecânico,250.0,61,175,0
2025-02-18,Teclado Mecânico,250.0,66,182,0
2025-02-19,Teclado Mecânico,250.0,69,182,0
2025-02-20,Teclado Mecânico,250.0,70,196,0
2025-02-21,Teclado Mecânico,250.0,93,164,1
2025-02-22,Teclado Mecânico,250.0,91,179,1
2025-02-23,Teclado Mecânico,250.0,90,240,1
2025-02-24,Teclado Mecânico,250.0,50,79,0
2025-02-25,Teclado Mecânico,250.0,65,92,0
2025-02-26,Teclado Mecânico,250.0,66,117,0
2025-02-27,Teclado Mecânico,250.0,63,134,0
2025-02-28,Teclado Mecânico,250.0,87,256,1
2025-03-01,Teclado Mecânico,250.0,99,290,1
2025-03-02,Teclado Mecânico,250.0,92,160,1
2025-03-03,Teclado Mecânico,250.0,55,94,0
2025-03-04,Teclado Mecânico,250.0,64,134,0
2025-03-05,Teclado Mecânico,250.0,61,78,0
2025-03-06,Teclado Mecânico,250.0,66,107,0
2025-03-07,Teclado Mecânico,250.0,91,132,1
2025-03-08,Teclado Mecânico,250.0,93,152,1
2025-03-09,Teclado Mecânico,250.0,92,221,1
2025-03-10,Teclado Mecânico,250.0,60,150,0
2025-03-11,Teclado Mecânico,250.0,67,124,0
2025-03-12,Teclado Mecânico,250.0,70,151,0
2025-03-13,Teclado Mecânico,250.0,70,95,0
2025-03-14,Teclado Mecânico,250.0,89,136,1
2025-03-15,Teclado Mecânico,250.0,96,122,1
2025-03-16,Teclado Mecânico,250.0,100,122,1
2025-03-17,Teclado Mecânico,250.0,68,144,0
2025-03-18,Teclado Mecânico,250.0,67,101,0
2025-03-19,Teclado Mecânico,250.0,57,139,0
2025-03-20,Teclado Mecânico,250.0,67,96,0
2025-03-21,Teclado Mecânico,250.0,91,165,1
2025-03-22,Teclado Mecânico,250.0,90,214,1
2025-03-23,Teclado Mecânico,250.0,95,253,1
2025-03-24,Teclado Mecânico,250.0,70,114,0
2025-03-25,Teclado Mecânico,250.0,76,103,0
2025-03-26,Teclado Mecânico,250.0,56,102,0
2025-03-27,Teclado Mecânico,250.0,69,172,0
2025-03-28,Teclado Mecânico,250.0,95,128,1
2025-03-29,Teclado Mecânico,250.0,98,146,1
2025-03-30,Teclado Mecânico,250.0,93,113,1
2025-03-31,Teclado Mecânico,250.0,68,94,0
2025-04-01,Teclado Mecânico,250.0,64,156,0
2025-04-02,Teclado Mecânico,250.0,57,135,0
2025-04-03,Teclado Mecânico,250.0,67,109,0
2025-04-04,Teclado Mecânico,250.0,87,155,1
2025-04-05,Teclado Mecânico,250.0,96,261,1
2025-04-06,Teclado Mecânico,250.0,98,233,1
2025-04-07,Teclado Mecânico,250.0,59,109,0
2025-04-08,Teclado Mecânico,250.0,64,107,0
2025-04-09,Teclado Mecânico,250.0,68,158,0
2025-04-10,Teclado Mecânico,250.0,62,163,0
2025-04-11,Teclado Mecânico,250.0,105,219,1
2025-04-12,Teclado Mecânico,250.0,92,142,1
2025-04-13,Teclado Mecânico,250.0,87,108,1
2025-04-14,Teclado Mecânico,250.0,68,160,0
2025-04-15,Teclado Mecânico,250.0,63,185,0
2025-04-16,Teclado Mecânico,250.0,67,196,0
2025-04-17,Teclado Mecânico,250.0,61,115,0
2025-04-18,Teclado Mecânico,250.0,96,262,1
2025-04-19,Teclado Mecânico,250.0,87,191,1
2025-04-20,Teclado Mecânico,250.0,89,256,1
2025-04-21,Teclado Mecânico,250.0,67,92,0
2025-04-22,Teclado Mecânico,250.0,72,166,0
2025-04-23,Teclado Mecânico,250.0,69,174,0
2025-04-24,Teclado Mecânico,250.0,64,157,0
2025-04-25,Teclado Mecânico,250.0,87,150,1
2025-04-26,Teclado Mecânico,250.0,99,263,1
2025-04-27,Teclado Mecânico,250.0,93,264,1
2025-04-28,Teclado Mecânico,250.0,65,137,0
2025-04-29,Teclado Mecânico,250.0,71,168,0
2025-04-30,Teclado Mecânico,250.0,63,155,0
2025-05-01,Teclado Mecânico,250.0,65,117,0
2025-05-02,Teclado Mecânico,250.0,93,174,1
2025-05-03,Teclado Mecânico,250.0,93,117,1
2025-05-04,Teclado Mecânico,250.0,88,179,1
2025-05-05,Teclado Mecânico,250.0,54,122,0
2025-05-06,Teclado Mecânico,250.0,65,81,0
2025-05-07,Teclado Mecânico,250.0,59,126,0
2025-05-08,Teclado Mecânico,250.0,62,160,0
2025-05-09,Teclado Mecânico,250.0,95,128,1
2025-05-10,Teclado Mecânico,250.0,85,109,1
2025-05-11,Teclado Mecânico,250.0,104,244,1
2025-05-12,Teclado Mecânico,250.0,73,183,0
2025-05-13,Teclado Mecânico,250.0,63,112,0
2025-05-14,Teclado Mecânico,250.0,66,173,0
2025-05-15,Teclado Mecânico,250.0,61,81,0
2025-05-16,Teclado Mecânico,250.0,83,103,1
2025-05-17,Teclado Mecânico,250.0,88,133,1
2025-05-18,Teclado Mecânico,250.0,100,148,1
2025-05-19,Teclado Mecânico,250.0,65,161,0
2025-05-20,Teclado Mecânico,250.0,55,131,0
2025-05-21,Teclado Mecânico,250.0,65,149,0
2025-05-22,Teclado Mecânico,250.0,72,140,0
2025-05-23,Teclado Mecânico,250.0,88,225,1
2025-05-24,Teclado Mecânico,250.0,85,104,1
2025-05-25,Teclado Mecânico,250.0,91,125,1
2025-05-26,Teclado Mecânico,250.0,73,152,0
2025-05-27,Teclado Mecânico,250.0,57,112,0
2025-05-28,Teclado Mecânico,250.0,63,120,0
2025-05-29,Teclado Mecânico,250.0,71,90,0
2025-05-30,Teclado Mecânico,250.0,98,183,1
2025-05-31,Teclado Mecânico,250.0,92,252,1
2025-06-01,Teclado Mecânico,250.0,104,248,1
2025-06-02,Teclado Mecânico,250.0,62,139,0
2025-06-03,Teclado Mecânico,250.0,64,185,0
2025-06-04,Teclado Mecânico,250.0,54,127,0
2025-06-05,Teclado Mecânico,250.0,70,141,0
2025-06-06,Teclado Mecânico,250.0,95,180,1
2025-06-07,Teclado Mecânico,250.0,92,269,1
2025-06-08,Teclado Mecânico,250.0,89,157,1
2025-06-09,Teclado Mecânico,250.0,64,174,0
2025-06-10,Teclado Mecânico,250.0,60,147,0
2025-06-11,Teclado Mecânico,250.0,62,144,0
2025-06-12,Teclado Mecânico,250.0,65,172,0
2025-06-13,Teclado Mecânico,250.0,95,162,1
2025-06-14,Teclado Mecânico,250.0,95,251,1
2025-06-15,Teclado Mecânico,250.0,88,262,1
2025-06-16,Teclado Mecânico,250.0,54,140,0
2025-06-17,Teclado Mecânico,250.0,57,103,0
2025-06-18,Teclado Mecânico,250.0,71,181,0
2025-06-19,Teclado Mecânico,250.0,61,84,0
2025-06-20,Teclado Mecânico,250.0,92,247,1
2025-06-21,Teclado Mecânico,250.0,96,170,1
2025-06-22,Teclado Mecânico,250.0,91,110,1
2025-06-23,Teclado Mecânico,250.0,68,192,0
2025-06-24,Teclado Mecânico,250.0,62,180,0
2025-06-25,Teclado Mecânico,250.0,60,174,0
2025-06-26,Teclado Mecânico,250.0,73,146,0
2025-06-27,Teclado Mecânico,250.0,97,167,1
2025-06-28,Teclado Mecânico,250.0,98,250,1
2025-06-29,Teclado Mecânico,250.0,86,225,1
2025-06-30,Teclado Mecânico,250.0,60,131,0
2025-07-01,Teclado Mecânico,250.0,63,125,0
2025-07-02,Teclado Mecânico,250.0,62,87,0
2025-07-03,Teclado Mecânico,250.0,67,97,0
2025-07-04,Teclado Mecânico,250.0,95,131,1
2025-07-05,Teclado Mecânico,250.0,99,133,1
2025-07-06,Teclado Mecânico,250.0,90,241,1
2025-07-07,Teclado Mecânico,250.0,64,158,0
2025-07-08,Teclado Mecânico,250.0,69,200,0
2025-07-09,Teclado Mecânico,250.0,61,181,0
2025-07-10,Teclado Mecânico,250.0,60,81,0
2025-07-11,Teclado Mecânico,250.0,99,257,1
2025-07-12,Teclado Mecânico,250.0,82,232,1
2025-07-13,Teclado Mecânico,250.0,100,140,1
2025-07-14,Teclado Mecânico,250.0,62,126,0
2025-07-15,Teclado Mecânico,250.0,63,81,0
2025-07-16,Teclado Mecânico,250.0,70,157,0
2025-07-17,Teclado Mecânico,250.0,67,196,0
2025-07-18,Teclado Mecânico,250.0,85,234,1
2025-07-19,Teclado Mecânico,250.0,88,141,1
2025-07-20,Teclado Mecânico,250.0,92,274,1
2025-07-21,Teclado Mecânico,250.0,68,90,0
2025-07-22,Teclado Mecânico,250.0,66,141,0
2025-07-23,Teclado Mecânico,250.0,64,149,0
2025-07-24,Teclado Mecânico,250.0,61,142,0
2025-07-25,Teclado Mecânico,250.0,101,227,1
2025-07-26,Teclado Mecânico,250.0,91,210,1
2025-07-27,Teclado Mecânico,250.0,97,164,1
2025-07-28,Teclado Mecânico,250.0,63,115,0
2025-07-29,Teclado Mecânico,250.0,57,128,0
2025-07-30,Teclado Mecânico,250.0,54,143,0
2025-07-31,Teclado Mecânico,250.0,65,158,0
2025-08-01,Teclado Mecânico,250.0,96,187,1
2025-08-02,Teclado Mecânico,250.0,99,285,1
2025-08-03,Teclado Mecânico,250.0,91,241,1
2025-08-04,Teclado Mecânico,250.0,62,184,0
2025-08-05,Teclado Mecânico,250.0,65,122,0
2025-08-06,Teclado Mecânico,250.0,58,170,0
2025-08-07,Teclado Mecânico,250.0,65,132,0
2025-08-08,Teclado Mecânico,250.0,93,181,1
2025-08-09,Teclado Mecânico,250.0,91,250,1
2025-08-10,Teclado Mecânico,250.0,92,245,1
2025-08-11,Teclado Mecânico,250.0,71,205,0
2025-08-12,Teclado Mecânico,250.0,65,177,0
2025-08-13,Teclado Mecânico,250.0,62,88,0
2025-08-14,Teclado Mecânico,250.0,55,160,0
2025-08-15,Teclado Mecânico,250.0,85,204,1
2025-08-16,Teclado Mecânico,250.0,94,217,1
2025-08-17,Teclado Mecânico,250.0,88,211,1
2025-08-18,Teclado Mecânico,250.0,62,132,0
2025-08-19,Teclado Mecânico,250.0,64,174,0
2025-08-20,Teclado Mecânico,250.0,71,155,0
2025-08-21,Teclado Mecânico,250.0,69,132,0
2025-08-22,Teclado Mecânico,250.0,93,134,1
2025-08-23,Teclado Mecânico,250.0,99,156,1
2025-08-24,Teclado Mecânico,250.0,96,138,1
2025-08-25,Teclado Mecânico,250.0,55,109,0
2025-08-26,Teclado Mecânico,250.0,71,200,0
2025-08-27,Teclado Mecânico,250.0,64,167,0
2025-08-28,Teclado Mecânico,250.0,53,101,0
2025-08-29,Teclado Mecânico,250.0,97,282,1
2025-08-30,Teclado Mecânico,250.0,93,136,1
2025-08-31,Teclado Mecânico,250.0,92,153,1
2025-09-01,Teclado Mecânico,250.0,67,135,0
2025-09-02,Teclado Mecânico,250.0,63,112,0
2025-09-03,Teclado Mecânico,250.0,65,152,0
2025-09-04,Teclado Mecânico,250.0,63,90,0
2025-09-05,Teclado Mecânico,250.0,91,130,1
2025-09-06,Teclado Mecânico,250.0,86,156,1
2025-09-07,Teclado Mecânico,250.0,94,264,1
2025-09-08,Teclado Mecânico,250.0,74,111,0
2025-09-09,Teclado Mecânico,250.0,62,95,0
2025-09-10,Teclado Mecânico,250.0,59,80,0
2025-09-11,Teclado Mecânico,250.0,61,86,0
2025-09-12,Teclado Mecânico,250.0,85,157,1
2025-09-13,Teclado Mecânico,250.0,91,191,1
2025-09-14,Teclado Mecânico,250.0,91,240,1
2025-09-15,Teclado Mecânico,250.0,64,149,0
2025-09-16,Teclado Mecânico,250.0,68,173,0
2025-09-17,Teclado Mecânico,250.0,60,91,0
2025-09-18,Teclado Mecânico,250.0,61,126,0
2025-09-19,Teclado Mecânico,250.0,86,198,1
2025-09-20,Teclado Mecânico,250.0,89,226,1
2025-09-21,Teclado Mecânico,250.0,81,102,1
2025-09-22,Teclado Mecânico,250.0,68,191,0
2025-09-23,Teclado Mecânico,250.0,58,123,0
2025-09-24,Teclado Mecânico,250.0,59,118,0
2025-09-25,Teclado Mecânico,250.0,64,138,0
2025-09-26,Teclado Mecânico,250.0,88,165,1
2025-09-27,Teclado Mecânico,250.0,87,107,1
2025-09-28,Teclado Mecânico,250.0,86,153,1
2025-09-29,Teclado Mecânico,250.0,60,84,0
2025-09-30,Teclado Mecânico,250.0,64,155,0
2025-10-01,Teclado Mecânico,250.0,68,178,0
2025-10-02,Teclado Mecânico,250.0,59,127,0
2025-10-03,Teclado Mecânico,250.0,92,207,1
2025-10-04,Teclado Mecânico,250.0,90,128,1
2025-10-05,Teclado Mecânico,250.0,100,171,1
2025-10-06,Teclado Mecânico,250.0,70,155,0
2025-10-07,Teclado Mecânico,250.0,57,104,0
2025-10-08,Teclado Mecânico,250.0,64,104,0
2025-10-09,Teclado Mecânico,250.0,64,88,0
2025-10-10,Teclado Mecânico,250.0,90,134,1
2025-10-11,Teclado Mecânico,250.0,89,136,1
2025-10-12,Teclado Mecânico,250.0,88,247,1
2025-10-13,Teclado Mecânico,250.0,61,82,0
2025-10-14,Teclado Mecânico,250.0,51,151,0
2025-10-15,Teclado Mecânico,250.0,67,93,0
2025-10-16,Teclado Mecânico,250.0,65,179,0
2025-10-17,Teclado Mecânico,250.0,91,243,1
2025-10-18,Teclado Mecânico,250.0,88,211,1
2025-10-19,Teclado Mecânico,250.0,89,255,1
2025-10-20,Teclado Mecânico,250.0,74,126,0
2025-10-21,Teclado Mecânico,250.0,71,183,0
2025-10-22,Teclado Mecânico,250.0,61,119,0
2025-10-23,Teclado Mecânico,250.0,58,122,0
2025-10-24,Teclado Mecânico,250.0,90,206,1
2025-10-25,Teclado Mecânico,250.0,90,154,1
2025-10-26,Teclado Mecânico,250.0,86,177,1
2025-10-27,Teclado Mecânico,250.0,65,140,0
2025-10-28,Teclado Mecânico,250.0,63,90,0
2025-10-29,Teclado Mecânico,250.0,61,80,0
2025-10-30,Teclado Mecânico,250.0,60,145,0
2025-10-31,Teclado Mecânico,250.0,96,246,1
2025-11-01,Teclado Mecânico,250.0,88,170,1
2025-11-02,Teclado Mecânico,250.0,104,190,1
2025-11-03,Teclado Mecânico,250.0,64,97,0
2025-11-04,Teclado Mecânico,250.0,64,84,0
2025-11-05,Teclado Mecânico,250.0,66,179,0
2025-11-06,Teclado Mecânico,250.0,71,103,0
2025-11-07,Teclado Mecânico,250.0,89,133,1
2025-11-08,Teclado Mecânico,250.0,95,142,1
2025-11-09,Teclado Mecânico,250.0,95,203,1
2025-11-10,Teclado Mecânico,250.0,69,127,0
2025-11-11,Teclado Mecânico,250.0,62,165,0
2025-11-12,Teclado Mecânico,250.0,68,135,0
2025-11-13,Teclado Mecânico,250.0,60,104,0
2025-11-14,Teclado Mecânico,250.0,81,206,1
2025-11-15,Teclado Mecânico,250.0,84,236,1
2025-11-16,Teclado Mecânico,250.0,92,173,1
2025-11-17,Teclado Mecânico,250.0,68,158,0
2025-11-18,Teclado Mecânico,250.0,64,90,0
2025-11-19,Teclado Mecânico,250.0,64,115,0
2025-11-20,Teclado Mecânico,250.0,66,95,0
2025-11-21,Teclado Mecânico,250.0,94,203,1
2025-11-22,Teclado Mecânico,250.0,98,275,1
2025-11-23,Teclado Mecânico,250.0,89,156,1
2025-11-24,Teclado Mecânico,250.0,65,107,0
2025-11-25,Teclado Mecânico,250.0,71,197,0
2025-11-26,Teclado Mecânico,250.0,65,118,0
2025-11-27,Teclado Mecânico,250.0,70,102,0
2025-11-28,Teclado Mecânico,250.0,90,145,1
2025-11-29,Teclado Mecânico,250.0,97,228,1
2025-11-30,Teclado Mecânico,250.0,97,237,1
2025-12-01,Teclado Mecânico,250.0,55,100,0
2025-12-02,Teclado Mecânico,250.0,65,99,0
2025-12-03,Teclado Mecânico,250.0,64,122,0
2025-12-04,Teclado Mecânico,250.0,68,138,0
2025-12-05,Teclado Mecânico,250.0,93,213,1
2025-12-06,Teclado Mecânico,250.0,105,129,1
2025-12-07,Teclado Mecânico,250.0,101,288,1
2025-12-08,Teclado Mecânico,250.0,66,163,0
2025-12-09,Teclado Mecânico,250.0,65,148,0
2025-12-10,Teclado Mecânico,250.0,58,113,0
2025-12-11,Teclado Mecânico,250.0,64,183,0
2025-12-12,Teclado Mecânico,250.0,92,185,1
2025-12-13,Teclado Mecânico,250.0,104,199,1
2025-12-14,Teclado Mecânico,250.0,94,122,1
2025-12-15,Teclado Mecânico,250.0,69,83,0
2025-12-16,Teclado Mecânico,250.0,60,108,0
2025-12-17,Teclado Mecânico,250.0,68,194,0
2025-12-18,Teclado Mecânico,250.0,52,94,0
2025-12-19,Teclado Mecânico,250.0,98,197,1
2025-12-20,Teclado Mecânico,250.0,88,141,1
2025-12-21,Teclado Mecânico,250.0,86,130,1
2025-12-22,Teclado Mecânico,250.0,63,132,0
2025-12-23,Teclado Mecânico,250.0,67,124,0
2025-12-24,Teclado Mecânico,250.0,63,141,0
2025-12-25,Teclado Mecânico,250.0,58,169,0
2025-12-26,Teclado Mecânico,250.0,94,137,1
2025-12-27,Teclado Mecânico,250.0,88,263,1
2025-12-28,Teclado Mecânico,250.0,91,191,1
2025-12-29,Teclado Mecânico,250.0,60,152,0
2025-12-30,Teclado Mecânico,250.0,64,100,0
2025-12-31,Teclado Mecânico,250.0,63,97,0
2025-01-01,Mouse Gamer,150.0,58,109,0
2025-01-02,Mouse Gamer,150.0,59,102,0
2025-01-03,Mouse Gamer,150.0,89,221,1
2025-01-04,Mouse Gamer,150.0,95,196,1
2025-01-05,Mouse Gamer,150.0,92,192,1
2025-01-06,Mouse Gamer,150.0,55,99,0
2025-01-07,Mouse Gamer,150.0,58,77,0
2025-01-08,Mouse Gamer,150.0,53,149,0
2025-01-09,Mouse Gamer,150.0,62,133,0
2025-01-10,Mouse Gamer,150.0,89,147,1
2025-01-11,Mouse Gamer,150.0,72,111,1
2025-01-12,Mouse Gamer,150.0,96,173,1
2025-01-13,Mouse Gamer,150.0,58,129,0
2025-01-14,Mouse Gamer,150.0,58,144,0
2025-01-15,Mouse Gamer,150.0,62,164,0
2025-01-16,Mouse Gamer,150.0,57,151,0
2025-01-17,Mouse Gamer,150.0,83,243,1
2025-01-18,Mouse Gamer,150.0,74,100,1
2025-01-19,Mouse Gamer,150.0,78,182,1
2025-01-20,Mouse Gamer,150.0,61,86,0
2025-01-21,Mouse Gamer,150.0,59,163,0
2025-01-22,Mouse Gamer,150.0,64,181,0
2025-01-23,Mouse Gamer,150.0,62,144,0
2025-01-24,Mouse Gamer,150.0,88,163,1
2025-01-25,Mouse Gamer,150.0,80,100,1
2025-01-26,Mouse Gamer,150.0,80,207,1
2025-01-27,Mouse Gamer,150.0,62,114,0
2025-01-28,Mouse Gamer,150.0,55,162,0
2025-01-29,Mouse Gamer,150.0,59,153,0
2025-01-30,Mouse Gamer,150.0,58,172,0
2025-01-31,Mouse Gamer,150.0,78,159,1
2025-02-01,Mouse Gamer,150.0,82,174,1
2025-02-02,Mouse Gamer,150.0,76,192,1
2025-02-03,Mouse Gamer,150.0,53,84,0
2025-02-04,Mouse Gamer,150.0,65,153,0
2025-02-05,Mouse Gamer,150.0,52,146,0
2025-02-06,Mouse Gamer,150.0,56,136,0
2025-02-07,Mouse Gamer,150.0,87,187,1
2025-02-08,Mouse Gamer,150.0,85,226,1
2025-02-09,Mouse Gamer,150.0,79,152,1
2025-02-10,Mouse Gamer,150.0,57,119,0
2025-02-11,Mouse Gamer,150.0,54,78,0
2025-02-12,Mouse Gamer,150.0,59,98,0
2025-02-13,Mouse Gamer,150.0,62,102,0
2025-02-14,Mouse Gamer,150.0,78,182,1
2025-02-15,Mouse Gamer,150.0,97,262,1
2025-02-16,Mouse Gamer,150.0,82,158,1
2025-02-17,Mouse Gamer,150.0,55,101,0
2025-02-18,Mouse Gamer,150.0,64,187,0
2025-02-19,Mouse Gamer,150.0,56,159,0
2025-02-20,Mouse Gamer,150.0,63,157,0
2025-02-21,Mouse Gamer,150.0,85,162,1
2025-02-22,Mouse Gamer,150.0,83,242,1
2025-02-23,Mouse Gamer,150.0,82,138,1
2025-02-24,Mouse Gamer,150.0,52,112,0
2025-02-25,Mouse Gamer,150.0,59,160,0
2025-02-26,Mouse Gamer,150.0,56,163,0
2025-02-27,Mouse Gamer,150.0,59,121,0
2025-02-28,Mouse Gamer,150.0,77,140,1
2025-03-01,Mouse Gamer,150.0,77,190,1
2025-03-02,Mouse Gamer,150.0,74,168,1
2025-03-03,Mouse Gamer,150.0,53,71,0
2025-03-04,Mouse Gamer,150.0,57,68,0
2025-03-05,Mouse Gamer,150.0,56,148,0
2025-03-06,Mouse Gamer,150.0,54,158,0
2025-03-07,Mouse Gamer,150.0,86,183,1
2025-03-08,Mouse Gamer,150.0,88,119,1
2025-03-09,Mouse Gamer,150.0,89,222,1
2025-03-10,Mouse Gamer,150.0,61,143,0
